exercise_name,equipment_name,target_muscle,demo_link,,,"""Sources"""
100's,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,https://www.healthline.com/health/fitness-exercise/10-best-exercises-everyday#start-here
Bicycle Crunch,,Abs,https://www.youtube.com/watch?v=Iwyvozckjak,,,Jeff Nippard's Fundamentals Hypertrophy Program (jeffnippard.com)
Cross-Body Mountain Climber,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,https://www.self.com/gallery/beginner-kettlebell-moves
Crunch,,Abs,https://www.youtube.com/watch?v=NGRKFMKhF8s,,,https://www.medicalnewstoday.com/articles/cardio-exercises-at-home
Hanging Leg Raise,,Abs,https://www.youtube.com/watch?v=Pr1ieGZ5atk,,,
Heel Taps,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,
In And Out,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,
Leg Raise Clap,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,
Plank,,Abs,https://www.healthline.com/health/fitness-exercise/10-best-exercises-everyday#start-here,,,
Plank Jacks,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,
Plank with Hip Dips,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,
Reverse Crunch,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,
Reverse Crunch Leg Extension,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,
Russian Twists,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,
Side Planks,,Abs,https://www.healthline.com/health/fitness-exercise/10-best-exercises-everyday#start-here,,,
Spider-Man Plank,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,
Straight Leg Crunch,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,
Up Down Planks,,Abs,https://www.youtube.com/watch?v=2pLT-olgUJs,,,
Dumbbell Rows,Dumbbells,Back,https://www.healthline.com/health/fitness-exercise/10-best-exercises-everyday#start-here,,,
Barbell Bent Over Row,Barbell,Back/Biceps,https://www.youtube.com/watch?v=9efgcAjQe7E,,,
Chest-Supported Dumbbell Row,Dumbbells,Back/Biceps,https://www.youtube.com/watch?v=nl2MnK1i504,,,
Chest-Supported T-Bar Row,Barbell,Back/Biceps,https://www.youtube.com/watch?v=w0KnlQ-b7jw,,,
Seated Cable Row,Cable Machine,Back/Biceps,https://www.youtube.com/watch?v=4mRy8U542Fo,,,
Single-Arm Dumbbell Row,Dumbells,Back/Biceps,https://www.youtube.com/watch?v=pYcpY20QaE8,,,
Dumbbell Supinated Curl,Dumbbells,Biceps,https://www.youtube.com/watch?v=ykJmrZ5v0Oo,,,
EZ Bar Curl,EZ Bar,Biceps,https://www.youtube.com/watch?v=zG2xJ0Q5QtI,,,
Hammer Curl,Dumbbells,Biceps,https://www.youtube.com/watch?v=zC3nLlEvin4,,,
Single-Arm Cable Curl,Cable Machine,Biceps,https://www.youtube.com/watch?v=mrLHAlftIro,,,
Standing Calf Raise,Barbell,Calves,https://www.youtube.com/watch?v=7AVIgDN72c0,,,
Bear Crawl,,Cardio,https://www.medicalnewstoday.com/articles/cardio-exercises-at-home,,,
Burpees,,Cardio,https://www.healthline.com/health/fitness-exercise/10-best-exercises-everyday#start-here,,,
Elliptical,Elliptical Machine,Cardio,https://www.youtube.com/watch?v=sHMemwz_HPU,,,
