Farmer Salad (Half),1,370,23,21,10,24
Thai Coconut Salad (Half),1,395,25,25,8,22
Steak Caesar Salad,1,NULL,NULL,NULL,NULL,NULL
Buddha Bowl,1 Bowl,600,28,7,9,23
Southwest Steak Bowl,1,NULL,NULL,NULL,NULL,NULL
Green Chili,1,170,5,25,5,11
Curry Sweet Potato Soup,1,NULL,NULL,NULL,NULL,NULL
BBQ Chicken (Half),1,490,12,66,15,28
Margherita Pizza (Half),1,345,11,48,4,15
Three Cheese Pizza (Half),1,405,11,57,3,19
Bacon Corn Pizza (Half),1,445,14,6,21
Pepe Pizza (Half),1,460,15,55,4,25
Sausage Pesto Pizza,1,NULL,NULL,NULL,NULL,NULL
Chipotle Steak Sandwich (Half),1,455,28,25,3,24
Grilled Cheese + Tomato (Half),1,790,35,2,30
BLT+A Sandwich (Half),1,550,32,54,3,15
Basil Chicken Sandwich (Half),1,450,25,32,3,24
Blueberry Pesto Sandwich,1,395,24,33,4,13
Super Berry Oatmeal,1,430,16,65,23,10
Peanut Butter Banana Oatmeal,1,570,23,77,31,17
Modern Avo Toast,1,300,15,37,3,7
Mac and Cheese,1,370,13,49,4,15
Pearl Sugar Waffle,1,410,20,54,30,5
The Rocket Breakfast Sandwich,1,NULL,NULL,NULL,NULL,NULL
Classic Breakfast Sandwich,1,NULL,NULL,NULL,NULL,NULL
Chipotle Bacon Breakfast Sandwich,1,830,52,54,3,33
