Turkey, Bacon, & Guacamole Wrap,1 Wrap,760,39,59,7,46
Chipotle Southwest Steak & Cheese Wrap,1 Wrap740,36,63,8,41
Turkey Breast Sub,6 in Sandwich,250,3,41,7,20
Veggie Delite Sub,6 in Sandwich,190,2,396,9
Black Forest Ham Sub,6 in Sandwich,6 in Sandwich,260,4,42,8,18
Sweet Onion Chicken Teriyaki Sub,6 in Sandwich,320,4,52,16,25
Oven-Roasted Chicken Sub,6 in Sandwich,270,5,41,8,21
Cold Cut Combo Sub,6 in Sandwich,310,10,38,5,16
Spicy Italian Sub,6 in Sandwich,450,24,40,5,18
Tuna Sub,6 in Sandwich,450,25,38,5,19
Italian BMT Sub,6 in Sandwich,380,17,40,5,19
Subway Club Sub,6 in Sandwich,290,4,41,6,25
Meatball Marinara Sub,6 in Sandwich,420,17,47,7,19
Steak & Cheese Sub,6 in Sandwich,340,10,39,5,22
Buffalo Chicken Sub,6 in Sandwich,360,12,39,5,24
Chicken & Bacon Ranch Sub,6 in Sandwich,530,26,41,6,36
Chicken & Bacon Ranch Salad,1 Salad,460,33,13,7,32
Italian BMT Salad,1 Salad,240, 15, 12, 5, 14
Meatball Marinara Salad,1 Salad,290,16,22,9,15
Oven-Roasted Chicken Salad,1 Salad,130,4,11,6,16
Steak & Cheese Salad,1 Salad,200,9,13,7,19
Sweet Onion Chicken Teriyaki Salad,1 Salad,210,3,30,20,19
Cold Cut Combo Salad,1 Salad,160,9,10,5,12
Spicy Italian Salad,1 Salad,300,23,12,5,14
Tuna Salad,1 Salad,310,24,10,5,15
Turkey Breast Salad,1 Salad,110,2,11,5,14
Chicken & Bacon Ranch Protein Bowl,1 Bowl,600,40,12,8,52
Italian BMT Protein Bowl,1 Bowl,410,29,13,5,25
Meatball Marinara Protein Bowl,1 Bowl,520,32,33,14,28
Oven-Roasted Chicken Protein Bowl,1 Bowl,200,6,11,6,27
Steak & Cheese Protein Bowl,1 Bowl,370,19,15,7,36
Sweet Onion Chicken Teriyaki Protein Bowl,1 Bowl,300,5,33,22,34
Cold Cut Combo Protein Bowl,1 Bowl,260,16,9,5,20
Spicy Italian Protein Bowl,1 Bowl,550,45,12,4,24
Tuna Protein Bowl,1 Bowl,550,47,8,4,26
Turkey Breast Protein Bowl,1 Bowl,160,2,11,5,25
Chocolate Chip Cookie,1 Cookie,220,10,30,18,2
Raspberry Cheesecake Cookie,1 Cookie,200,9,29,16,2
Oatmeal Raisin Cookie,1 Cookie,200,8,30,16,3
White Chocolate Macadamia Cookie,1 Cookie,220,11,28,17,2
