Doritos Locos Tacos,1 Taco,170,9,13,0,8
Doritos Locos Tacos Supreme,1 Taco,190,11,15,2,8
Crunchy Taco,1 Taco,170,9,13,0,8
Cruncy Taco Supreme,1 Taco,190,11,15,2,8
Soft Taco,1 Taco,180,9,17,1,9
Soft Taco Supreme,1 Taco,210,10,20,2,10
Chicken Soft Taco,1 Taco,180,7,18,2,13
Spicy Potato Soft Taco,1 Taco,230,12,27,1,5
Bean Burrito,1 Burrito,350,9,54,3,13
Burrito Supreme,1 Burrito,390,14,51,4,16
Beffy 5-Layer Burrito,1 Burrito,490,18,63,5,18
Chicken Burrito,1 Burrito,370,11,49,4,19
Chili Cheese Burrito,1 Burrito,370,17,40,2,16
Crunchwrap Supreme,1 Crunchwrap,530,21,71,6,16
Cheesy Gordita Crunch,1 Gordita,500,28,41,4,20
Quesarito,1 Quesarito,650,33,67,5,22
Black Bean Quesarito,1 Quesarito,630,29,73,5,19
Chalupa Supreme,1 Chalupa,350,18,33,3,13
Nachos Bellgrande,1 Bellgrande,740,38,82,5,16
Quesadilla,1 Quesadilla,510,26,38,2,27
Cheese Quesadilla,1 Quesadilla,470,25,37,2,19
Power Menu Bowl,1 Bowl,480,20,51,2,25
Power Menu Veggie Bowl,1 Bowl,430,17,57,2,12
Cheesy Roll-Up,1 Roll-Up,180,9,15,0,9
Cinnamon Twists,Regular,170,6,27,13,1
Cinnabon Delights,2 Delights,160,9,17,10,2
Chicken Chipotle Melt,Regular,190,9,15,0,12
Cheesy Fiesta Potatoes,Regular,230,12,28,2,3
