Oranges,Ounce,13,0,3,3,0
Butter Chips,Chip,54,6,0,0,0
Wheat Pullman,Slices,49,0,10,0,2
White Pullman,Slices,62,0.5,10,0,2
Honey Nut Cheerios,Bowl,133,1.5,28,12,3
Bananas,Banana,179,0.5,46,25,2
Cream Cheese Pc 1z,1z Cup,100,9,1,0,2
Frosted Flakes Bowl,1z,105,0,25,10,1
Froot Loops Bowl,1.5z bowl,159,1.5,37,18,2
Donuts,Each,229,13,23,< 1,4
Oatmeal,4z Portion,77,1.5,14,0,3
Scrambled Eggs,4z Portion,182,12,< 1,0,15
Omelet Toppings,3.54z Portion,186,15,4,< 1,11
Hard Boiled Eggs,1 Egg,91,6,0,0,8
Apple Red Delicious Fancy 125ct,Each,75,0,20,15,0
Jelly Asst Cup Strbry/Grape/Mixed Fruit,.5z Cup,,,,,
French Toast,1 Slice,263,10,33,10,10
Cereal Gn Mls Bowl Rice Chex,Bowl,106,0,24,2,2
Yogurt LF Original Blbry PF,6z,160,1.5,31,0,5
Yogurt LF Original Strbry PF,6z,160,1.5,33,0,5
Yogurt LF Original Vanilla PF,6z,157,1.5,30,0,6
Potatoes OBrien,4z portion,107,0.5,23,2,3
Denver Tofu Scramble,3z Portion,112,8,5,< 1,8
Sausage Maple Links Cooked DH,2 Links,200,19,2,0,6
Bagel Wheat NDB,Bagel,297,1.5,62,2,11
Plain Bagel,Bagel,300,1,62,4,11
-,-,-,-,-,-,-
Oranges,Ounce,13,0,3,3,0
Butter Chips,Chip,54,6,0,0,0
Strawberry Cream Cheese Pc,.75z,70,6,3,0,< 1
Peanut Butter Cup Pc,.75z,126,10,5,2,5
Bananas,Banana,179,0.5,46,25,2
Cream Cheese Pc 1z,1z Cup,100,9,1,0,2
Grilled Cheese on White,Sandwich,349,25,20,0,9
Chicken Quesadilla,1/2 Quesadilla,143,6,14,0,6
Fresh Tortilla Chips,Ounce,138,8,15,0,3
Char-Grilled Chicken Breast,3.25z Portion,73,1,0,0,16
Apple Red Delicious Fancy 125ct,Each,75,0,20,15,0
Pita Chips Simply Naked,1.5z Bag,,,,,
Peanut Butter & Grape Jelly Uncrustable,2.6z sandw,291,15,31,14,9
Cheese Quesadilla,3-Cut Piece,115,6,10,0,5
Steamed Brown Rice,4z Portion,148,1,32,0,3
Salad Tom Basil Couscous,3z Portion,116,6,13,2,2
Marinated Tofu,4z Portion,119,8,4,2,9
Baby Carrot Packets,1.6z bag,16,0,4,2,0
Salad Quinoa,3z Portion,136,7,13,0,4
Jelly Asst Cup Strbry/Grape/Mixed Fruit,.5z Cup,,,,,
Mandarin Orange Bowl 4z,4z Container,80,0,19,0,0
Yogurt FF Lt Strbry PF,.75 cup,90,0,16,0,6
Yogurt LF Original Blbry PF,6z,160,1.5,31,0,5
Yogurt LF Original Vanilla PF,.75 cup,157,1.5,30,0,6
Thick Cut French Fries,3z,130,3.5,21,0,2
Ranch Dressing Packet,Pkt,34,0,8,0,0
Mongolian Chicken,4z Portion,149,6,17,5,6
Vegetable Yaki Soba,6z Portion,279,9,42,6,10
Nutritional Yeast,Gram,,,,,
Peanut Butter & Strawberry Uncrustable,2.6z Pkg,267,11,36,13,8
Cheese Vegan Mozz Style Shrd,Ounce,91,6,7,0,1
Boom Boom Chicken Salad,Salad,798,57,34,3,36
Boom Boom Chicken Salad,Salad,798,57,34,3,36
Golden Italian Dressing Packet,1.5z Pkt,158,2.5,3,3,0
Chocolate Chip Cookie,1ct,130,6,18,10,1
Sugar Cookie,1ct,120,4,1,9,1
Roasted Red Pepper Hummus,3z Cup,111,2,18,4,6
Roasted Red Pepper Hummus,3z Cup,111,2,18,4,6
Fresh Sandwich Selection,Sandw,606,33,37,4,38
Field Roast Vegan Burger,3.25z,240,12,12,0,21
Creamy Tomato Soup,6 Flz,53,1.5,8,5,2
-,-,-,-,-,-,-
Oranges,Ounce,13,0,3,3,0
Butter Chips,Chip,54,6,0,0,0
Strawberry Cream Cheese Pc,.75z,70,6,3,0,< 1
Peanut Butter Cup Pc,.75z,126,10,5,2,5
Bananas,Banana,179,0.5,46,25,2
Cream Cheese Pc 1z,1z Cup,100,9,1,0,2
Grilled Cheese on White,Sandwich,349,25,20,0,9
Breaded Chicken Fillet,Patty+Roll,372,19,32,0,16
Black Bean Sweet Potato Burrito,1 Burrito,537,11,99,46,8
Char-Grilled Chicken Breast,3.25z Portion,73,1,0,0,16
Char-Grilled Zucchini Slices,1.14z Portion,78,8,< 1,0,0
Seasonal Garden Salad,Salad,164,0.5,15,4,14
Butternut Squash Tortellini,4z Portion,256,6,26,2,16
Apple Red Delicious Fancy 125ct,Each,75,0,20,15,0
Pita Chips Simply Naked,1.5z Bag,,,,,
Peanut Butter & Grape Jelly Uncrustable,2.6z sandw,291,15,31,14,9
Salad Tom Basil Couscous,3z Portion,116,6,13,2,2
Marinated Tofu,4z Portion,119,8,4,2,9
Baby Carrot Packets,1.6z bag,16,0,4,2,0
Broccoli Florets,4z Portion,34,0,6,2,4
Baked Tilapia w/Horseradish Sauce,5z Portion,380,24,13,< 1,27
Grilled Chicken Parmigiana,6.5z Portion,177,6,5,3,25
Salad Quinoa,3z Portion,136,7,13,0,4
Jelly Asst Cup Strbry/Grape/Mixed Fruit,.5z Cup,,,,,
Steamed Vegetable of the Day,5z Portion,68,1,12,< 1,3
Vegan Refried Beans,#24 Scoop,167,2,27,0,9
Mandarin Orange Bowl 4z,4z Container,80,0,19,0,0
Gluten Free Hamburger Buns,4in Bun,,,,,
Yogurt FF Lt Strbry PF,.75 cup,90,0,16,0,6
Yogurt LF Original Blbry PF,6z,160,1.5,31,0,5
Yogurt LF Original Vanilla PF,.75 cup,157,1.5,30,0,6
Thick Cut French Fries,3z,130,3.5,21,0,2
Chicken Cheese Crispito,Crispito,180,7,22,0,9
Mexican Rice,1z Portion,36,0,8,0,< 1
Mexican Rice,4z Portion,145,0,31,2,4
Ranch Dressing Packet,Pkt,34,0,8,0,0
Nutritional Yeast,Gram,,,,,
Peanut Butter & Strawberry Uncrustable,2.6z Pkg,267,11,36,13,8
Cheese Vegan Mozz Style Shrd,Ounce,91,6,7,0,1
Golden Italian Dressing Packet,1.5z Pkt,158,2.5,3,3,0
Chocolate Chip Cookie,1ct,130,6,18,10,1
Sugar Cookie,1ct,120,4,1,9,1
Roasted Red Pepper Hummus,3z Cup,111,2,18,4,6
Roasted Red Pepper Hummus,3z Cup,111,2,18,4,6
Fresh Sandwich Selection,Sandw,606,33,37,4,38
Field Roast Vegan Burger,3.25z,240,12,12,0,21
Beef and Mushroom Burger,Patty,219,18,< 1,0,13
Creamy Tomato Soup,6 Flz,53,1.5,8,5,2
-,-,-,-,-,-,-
